DATE,Mkt-RF,SMB,HML,RF,MOM
194011,-1.61,1.94,0.12,0,1.33
194012,0.69,-2.15,-0.89,0,3.46
194101,-4.17,1,3.83,-0.01,-4.72
194102,-1.43,-1.57,0.89,-0.01,0.91
194103,0.84,0.1,3.04,0.01,2.43
194104,-5.46,-1.69,3.41,-0.01,3.03
194105,1.39,-0.66,0.6,0,2.46
194106,5.83,1.32,0.59,0,-0.64
194107,5.87,5.7,7.25,0.03,-1.75
194108,-0.17,-0.41,-1.1,0.01,0.17
194109,-0.87,-0.99,-0.28,0.01,-1.57
194110,-5.25,-2.02,1.63,0,4.74
194111,-1.92,-1.21,-0.64,0,4.04
194112,-4.87,-2.98,-5.94,0.01,0.28
194201,0.79,7.52,10.1,0.02,-3.58
194202,-2.46,1.72,-1.13,0.01,-0.71
194203,-6.58,1.78,-0.62,0.01,-0.21
194204,-4.37,-0.6,2.09,0.01,-0.79
194205,5.94,-3.05,-2.65,0.03,-4.71
194206,2.69,-1.22,0.54,0.02,-1.32
194207,3.51,-0.16,2.4,0.03,0.77
194208,1.8,-0.09,1.33,0.03,-0.13
194209,2.61,0.66,2.39,0.03,-0.64
194210,6.82,1.82,6.47,0.03,-4.01
194211,0.15,-1.54,-4.24,0.03,-0.97
194212,5.12,-2.49,0.56,0.03,3.06
194301,7.13,8.78,8.23,0.03,-0.36
194302,6.15,4.84,6.51,0.03,-1.46
194303,6.01,5.03,5.48,0.03,4.74
194304,0.81,2.06,5.86,0.03,6.18
194305,5.74,4.41,3.28,0.03,5.61
194306,1.82,-1.06,-0.74,0.03,-1.3
194307,-4.77,-2.41,-2.27,0.03,-4.59
194308,1.3,-0.62,-0.47,0.03,0.71
194309,2.4,1.28,1.43,0.03,1.78
194310,-1.15,0.58,1.65,0.03,-0.53
194311,-5.91,-1.64,-4.04,0.03,-4.72
194312,6.36,3.34,3.22,0.03,5.99
194401,1.74,2.56,2.17,0.03,0.97
194402,0.37,-0.1,0.83,0.03,0.34
194403,2.46,1.71,3.43,0.02,2.61
194404,-1.69,-1.35,-1.13,0.03,0.52
194405,5.07,1.67,1.02,0.03,2.07
194406,5.49,4.04,1.82,0.03,-5.22
194407,-1.49,0.55,-0.43,0.03,0.19
194408,1.57,2.41,-1.63,0.03,4.68
194409,0.01,0.47,-1.21,0.02,-1.08
194410,0.16,-0.14,-0.34,0.03,-1.24
194411,1.71,0.37,2.31,0.03,1.28
194412,4.03,2.24,5.91,0.02,3.36
194501,2.01,2.44,0.71,0.03,0.04
194502,6.23,1.56,4.4,0.02,3.03
194503,-3.89,-1.61,-1.78,0.02,-3.28
194504,7.8,0.32,3.21,0.03,4.79
194505,1.73,1.51,0.35,0.03,0.11
194506,0.39,3.1,4.32,0.02,4.11
194507,-2.17,-1.46,-2.71,0.03,-2.62
194508,6.2,1.61,-4.4,0.03,-1.4
194509,4.77,1.71,0.48,0.03,1.4
194510,3.89,2.46,2.25,0.03,0.25
194511,5.39,4.16,4.34,0.02,4.26
194512,1.2,2.12,-2.32,0.03,1.25
194601,6.24,4.02,2.21,0.03,3.76
194602,-5.83,-0.73,-1.27,0.03,-1.45
194603,5.87,0.31,-0.36,0.03,2.69
194604,4.23,2.37,0.45,0.03,3.03
194605,3.93,1.46,1.09,0.03,-0.61
194606,-3.89,-1.53,-0.59,0.03,-2.52
194607,-2.69,-2.06,0.04,0.03,-0.1
194608,-6.44,-1.78,0.6,0.03,-0.03
194609,-10.17,-4.41,-1.96,0.03,0.74
194610,-1.44,0.09,3.44,0.03,0.97
194611,-0.01,-0.4,1.52,0.03,0.2
194612,4.96,0.06,-1.38,0.03,-0.1
194701,1.25,2.18,-0.73,0.03,-6.44
194702,-1.08,0.68,0.14,0.03,-0.49
194703,-1.67,-1.61,0.61,0.03,4.06
194704,-4.8,-3.97,0.85,0.03,5.05
194705,-0.97,-3.26,0.34,0.03,3.33
194706,5.29,-0.31,-0.6,0.03,-1.85
194707,4.14,1.43,2.82,0.03,-3.42
194708,-1.74,0.3,0.16,0.03,3.38
194709,-0.54,1.64,1.36,0.06,-0.02
194710,2.47,0.51,0.08,0.06,1.34
194711,-1.97,-1.74,1.06,0.06,4.23
194712,3,-2.48,3.69,0.08,3.6
194801,-3.93,2.49,1.38,0.07,-4.29
194802,-4.38,-1.71,0.07,0.07,1.47
194803,8.07,0.13,4.49,0.09,-0.19
194804,3.65,-1.66,4.1,0.08,4.06
194805,7.3,0.93,-1.23,0.08,2.38
194806,-0.1,-1.86,2.75,0.09,3.99
194807,-5.09,-0.32,0.07,0.08,-1.58
194808,0.25,-1.1,0.27,0.09,0.23
194809,-2.97,-1.23,-1.79,0.04,-1.26
194810,5.96,-1.5,0.56,0.04,2.79
194811,-9.3,-0.62,-4.14,0.04,0.6
194812,3.26,-2.8,-1.94,0.04,4.66
194901,0.23,1.81,1.17,0.1,-2.92
194902,-2.93,-1.89,-0.91,0.09,-0.41
194903,4.04,2.48,1.34,0.1,-0.87
194904,-1.87,-0.89,-1.18,0.09,3.06
194905,-2.94,-0.77,-2.42,0.1,3.04
194906,0.1,-0.88,-1.76,0.1,-1.28
194907,5.54,0.57,0.38,0.09,-1.54
194908,2.6,0.13,-0.57,0.09,1.7
194909,3.09,1.05,0.23,0.09,-1.42
194910,3.14,1.03,-0.49,0.09,0
194911,1.82,-0.93,-0.91,0.08,1.27
194912,5.13,2.07,1.75,0.09,-0.78
195001,1.7,3.36,0.14,0.09,-2.32
195002,1.48,0.04,-0.81,0.09,1.36
195003,1.26,-1.41,-2.77,0.1,1.54
195004,3.94,1.99,1.34,0.09,0.33
195005,4.31,-2.12,0.46,0.1,0.38
195006,-5.94,-2.38,-0.78,0.1,-1.66
195007,1.36,0.51,13.66,0.1,-0.47
195008,4.85,0.73,-1.41,0.1,3.21
195009,4.81,0.57,-1.11,0.1,-0.13
195010,-0.18,-0.58,1.44,0.12,1.42
195011,2.76,-0.84,3.17,0.11,3.59
195012,5.54,1.49,7.23,0.11,4.97
195101,5.7,1.73,3.72,0.13,2
195102,1.41,0.09,-2.83,0.1,-1.58
195103,-2.15,-0.64,-4.22,0.11,-2.95
195104,4.86,-1.49,3.28,0.13,6.02
195105,-2.34,-0.01,-1.33,0.12,-0.93
195106,-2.62,-1.95,-3.96,0.12,-2.39
195107,6.94,-1.92,1.91,0.13,7.24
195108,4.27,0.84,0.25,0.13,1
195109,0.7,1.88,0.64,0.12,0.56
195110,-2.53,-0.28,0.24,0.16,-0.31
195111,0.57,-0.44,0.26,0.11,0.63
195112,3.33,-2.06,-1.93,0.12,1.7
195201,1.45,-0.76,1.82,0.15,1.37
195202,-2.62,0.67,-0.22,0.12,-0.75
195203,4.44,-3.02,2.21,0.11,1.65
195204,-4.97,0.38,0.25,0.12,-2.04
195205,3.2,-1.06,0.2,0.13,0.49
195206,3.83,-1.6,1.18,0.15,1.5
195207,0.91,-0.35,-0.4,0.15,-0.52
195208,-0.76,1.21,-0.12,0.15,0.31
195209,-2.03,1.19,-1.59,0.16,1.76
195210,-0.66,-1.1,-0.46,0.14,2.75
195211,5.94,-0.69,0.88,0.1,0.44
195212,2.93,-1.42,0,0.16,1.51
195301,-0.34,3.54,1.28,0.16,0.72
195302,-0.27,2.16,-0.13,0.14,0.86
195303,-1.43,-0.14,-1.03,0.18,0.08
195304,-2.83,0.27,1.45,0.16,1.85
195305,0.52,-0.03,0.13,0.17,0.94
195306,-1.89,-1.85,-0.47,0.18,-0.01
195307,2.4,-1.01,-0.37,0.15,-0.31
195308,-4.52,0.44,-3.62,0.17,2.21
195309,0.2,-0.81,-2.55,0.16,2.88
195310,4.6,-1.4,-0.03,0.13,0.27
195311,2.83,-1.23,-0.4,0.08,1.95
195312,0.03,-0.72,-2.96,0.13,5.19
195401,5.13,0.42,3.53,0.11,-5.74
195402,1.67,-0.21,-0.23,0.07,1.03
195403,3.65,-0.51,-1.55,0.08,2.2
195404,4.27,-3.46,-0.5,0.09,4.98
195405,3.09,0.36,2.53,0.05,-1.99
195406,1.07,0.4,-0.05,0.06,3.52
195407,4.99,1.05,4.13,0.05,0.44
195408,-2.34,2.68,-1.44,0.05,-0.64
195409,6.39,-2.56,0.68,0.09,1.54
195410,-1.67,0.57,0.71,0.07,0.96
195411,9.38,-2.65,4.18,0.06,1.93
195412,5.48,2.15,5.74,0.08,-1.41
195501,0.6,0.24,2.22,0.08,1.36
195502,3.02,1.54,0.61,0.09,1.09
195503,-0.16,-0.69,2.01,0.1,1.03
195504,3.11,-1.78,0.74,0.1,0.09
195505,0.93,-0.28,-0.87,0.14,0.56
195506,6.55,-4.65,1.86,0.1,4.66
195507,1.9,-1.36,0.63,0.1,-1.23
195508,0.21,-0.38,0.59,0.16,1.79
195509,-0.36,0.3,-1.06,0.16,1.77
195510,-2.68,1.5,-0.03,0.18,-0.5
195511,7.03,-2.46,0.51,0.17,2.67
195512,1.49,2.09,-2.26,0.18,-1.33
195601,-3.03,0.44,1.12,0.22,-1.48
195602,3.77,-1.03,-0.55,0.19,1.97
195603,6.64,-2.41,-0.15,0.15,3.59
195604,0.28,0.06,-0.16,0.19,2.57
195605,-5.2,1.51,-1.34,0.23,-1.62
195606,3.48,-1.47,-1.3,0.2,2.71
195607,4.84,-1.8,0.19,0.22,2.52
195608,-3.18,2.02,-0.86,0.17,-0.69
195609,-5.14,1.62,1.75,0.18,-0.76
195610,0.52,-0.13,0.01,0.25,2.46
195611,0.36,-0.28,1.99,0.2,3.41
195612,3.16,-0.2,-1.87,0.24,3.81
195701,-3.58,3.57,2.55,0.27,-3.05
195702,-2.06,-0.74,-0.7,0.24,0.31
195703,2.13,0.27,-0.48,0.23,-0.18
195704,4.26,-1.79,-1.25,0.25,0.96
195705,3.45,-1.09,-2.07,0.26,0.44
195706,-0.74,0.58,-0.07,0.24,0.77
195707,0.66,-0.76,0.39,0.3,-0.07
195708,-5.11,0.07,-0.45,0.25,0.49
195709,-5.98,0.07,0.88,0.26,0.62
195710,-4.32,-2.52,-1.83,0.29,1.94
195711,2.3,0.41,-2.9,0.28,1.24
195712,-3.91,-0.92,-1.72,0.24,7.79
195801,4.66,4.37,4.22,0.28,-7.63
195802,-1.52,0.7,0.28,0.12,3.75
195803,3.27,0.63,-0.92,0.09,-1.85
195804,3.09,-0.59,1.47,0.08,1.85
195805,2.31,2.23,-0.35,0.11,-1.82
195806,2.93,-0.24,0.51,0.03,-0.87
195807,4.39,0.48,3.1,0.07,-3.62
195808,1.91,1.17,0.31,0.04,0.28
195809,4.66,0.14,2.98,0.19,-1.13
195810,2.53,1.13,-1.18,0.18,3.12
195811,3.01,2.04,-1.28,0.11,1.57
195812,5.15,-2.05,-0.08,0.22,-0.65
195901,0.71,3,3.03,0.21,-0.24
195902,0.95,1.53,0.99,0.19,3.4
195903,0.28,1.49,-0.38,0.22,0.13
195904,3.66,-0.54,-1.32,0.2,3.15
195905,1.73,-2.11,1.78,0.22,1.5
195906,-0.25,0.66,1.38,0.25,2.91
195907,3.17,-0.33,0.28,0.25,-0.32
195908,-1.39,-0.78,0.4,0.19,-0.95
195909,-4.8,-0.08,0.5,0.31,0.85
195910,1.28,1.43,-2.04,0.3,3.48
195911,1.6,1.29,-3.27,0.26,2.26
195912,2.45,-0.6,-0.08,0.34,0.99
196001,-6.98,2.05,2.69,0.33,-3.49
196002,1.17,0.56,-2.03,0.29,3.86
196003,-1.63,-0.47,-2.84,0.35,1.43
196004,-1.71,0.39,-2.37,0.19,2.81
196005,3.12,1.27,-3.72,0.27,4.81
196006,2.08,-0.17,-0.26,0.24,0.86
196007,-2.37,-0.57,2.12,0.13,-0.78
196008,3.01,0.88,-0.17,0.17,1.92
196009,-5.99,-1.14,1.62,0.16,0.29
196010,-0.71,-3.95,2.61,0.22,1.23
196011,4.69,0.29,-2.4,0.13,3.69
196012,4.71,-1.6,-0.71,0.16,1.36
196101,6.2,0.68,3.67,0.19,-3.97
196102,3.57,3.94,-0.68,0.14,1.03
196103,2.89,3.19,-0.68,0.2,4.18
196104,0.29,0.12,2.04,0.17,3.52
196105,2.4,1.93,0.51,0.18,-1.5
196106,-3.08,-2.48,-0.19,0.2,0.26
196107,2.83,-1.9,-0.13,0.18,0.27
196108,2.57,-1.81,-0.19,0.14,1.61
196109,-2.15,-1.12,-0.48,0.17,0.76
196110,2.57,-1.98,0.61,0.19,3.09
196111,4.45,1.05,-0.9,0.15,1.35
196112,-0.18,-1.12,2.21,0.19,-2.25
196201,-3.87,1.84,4.99,0.24,-2.01
196202,1.81,-1.19,0.89,0.2,-0.96
196203,-0.68,0.23,-1.01,0.2,1.82
196204,-6.59,-0.98,0.48,0.22,2.89
196205,-8.65,-3.01,2.31,0.24,0.34
196206,-8.47,-0.77,2.8,0.2,6.42
196207,6.28,1.6,-3.6,0.27,0.71
196208,2.13,1.24,-1.24,0.23,-0.57
196209,-5.22,-2.48,1.32,0.21,3.97
196210,-0.05,-4.01,1.36,0.25,0.72
196211,10.87,2.58,1.04,0.2,-7.15
196212,1.01,-3.79,0.33,0.23,5.8
196301,4.93,3.1,2.19,0.25,-2.11
196302,-2.38,0.48,2.25,0.23,2.52
196303,3.08,-2.51,1.93,0.23,1.58
196304,4.51,-1.32,1.03,0.25,-0.08
196305,1.76,1.07,2.56,0.24,0.37
196306,-2,-0.27,0.73,0.23,1.18
196307,-0.39,-0.55,-0.82,0.27,0.99
196308,5.07,-0.94,1.63,0.25,1.08
196309,-1.57,-0.3,0.19,0.27,0.13
196310,2.53,-0.53,-0.11,0.29,3.14
196311,-0.85,-1.11,1.66,0.27,-0.75
196312,1.83,-1.96,-0.11,0.29,1.7
196401,2.24,-0.2,1.64,0.3,1.06
196402,1.54,0.08,2.83,0.26,0.25
196403,1.41,0.98,3.36,0.31,0.71
196404,0.1,-1.41,-0.42,0.29,-0.59
196405,1.42,-0.87,1.88,0.26,2.54
196406,1.27,-0.28,0.72,0.3,0.47
196407,1.74,0.23,0.7,0.3,-0.32
196408,-1.44,0.09,0.12,0.28,-0.2
196409,2.69,-0.52,1.65,0.28,-0.38
196410,0.59,0.45,1.14,0.29,0.13
196411,0,0.6,-1.96,0.29,1.1
196412,0.03,-0.24,-2.58,0.31,-0.71
196501,3.54,2.67,0.2,0.28,-1.3
196502,0.44,3.48,0.19,0.3,0.28
196503,-1.34,1.79,1.07,0.36,0.09
196504,3.11,1.19,0.7,0.31,2.54
196505,-0.77,0.03,-1.62,0.31,0.53
196506,-5.51,-4.35,0.58,0.35,-3.13
196507,1.43,0.85,2.21,0.31,4.09
196508,2.73,2.84,-1.07,0.33,2.58
196509,2.86,0.62,-0.11,0.31,3.32
196510,2.6,2.43,1.6,0.31,3.44
196511,-0.03,4.68,0.23,0.35,4.41
196512,1.01,2.07,2.08,0.33,0.15
196601,0.72,3.85,3.57,0.38,5.43
196602,-1.21,4.45,0.36,0.35,4.54
196603,-2.51,0.95,-2.05,0.38,1.35
196604,2.14,3.43,-0.44,0.34,6.21
196605,-5.66,-4.65,-1.65,0.41,-4.73
196606,-1.44,1.06,0.49,0.38,3.31
196607,-1.63,-0.32,0.82,0.35,-1.41
196608,-7.91,-3.32,0.56,0.41,-2.08
196609,-1.06,-1.1,0.5,0.4,-1.77
196610,3.86,-6.59,2.81,0.45,-5.13
196611,1.4,4.33,-4.6,0.4,5.73
196612,0.13,1.85,-1.29,0.4,1.07
196701,8.15,8.43,2.03,0.43,-6.75
196702,0.78,3.37,-2.26,0.36,3.56
196703,3.99,1.74,0.19,0.39,1.43
196704,3.89,0.57,-2.54,0.32,0.62
196705,-4.33,2,0.89,0.33,0.59
196706,2.41,5.99,0.94,0.27,6.04
196707,4.58,3.09,2.65,0.31,-1.09
196708,-0.89,0.48,1.47,0.31,-1.41
196709,3.11,3.09,-2.47,0.32,2.55
196710,-3.09,1.42,-3.39,0.39,3.66
196711,0.37,0.2,-1.71,0.36,1.29
196712,3.05,5.73,-0.39,0.33,3.23
196801,-4.06,3.89,4.76,0.4,-4.64
196802,-3.75,-2.96,1.17,0.39,-3.4
196803,0.2,-1.29,-0.59,0.38,3.18
196804,9.05,5.73,-1.03,0.43,5.15
196805,2.28,6.41,0.84,0.45,3.73
196806,0.69,-0.17,0.67,0.43,-1.92
196807,-2.72,-1.31,5.48,0.48,-0.85
196808,1.34,2.35,1.01,0.42,1.88
196809,4.03,2.79,0.24,0.43,-0.66
196810,0.42,-0.48,2.9,0.44,-1.52
196811,5.43,2.36,-0.9,0.42,1.73
196812,-3.94,3.44,0.02,0.43,0.11
196901,-1.25,-0.79,1.69,0.53,-0.15
196902,-5.84,-3.88,0.92,0.46,-2.45
196903,2.64,-0.25,-0.45,0.46,3.95
196904,1.46,-0.87,0.05,0.53,1.17
196905,-0.1,-0.27,0.73,0.48,1.68
196906,-7.18,-5.39,-1.09,0.51,-2.23
196907,-7,-3.2,1.43,0.53,1.64
196908,4.68,0.93,-3.86,0.5,2.13
196909,-2.98,1.22,-3.22,0.62,2.53
196910,5.06,3.8,-3.22,0.6,-4.33
196911,-3.79,-2.53,-1.11,0.52,3.6
196912,-2.63,-3.66,-3.07,0.64,5.04
197001,-8.1,2.91,3.06,0.6,0.63
197002,5.13,-2.38,4.03,0.62,0.12
197003,-1.06,-2.32,4.25,0.57,-0.29
197004,-11,-6.11,6.4,0.5,-0.73
197005,-6.92,-4.5,3.65,0.53,-2.69
197006,-5.79,-2.13,0.79,0.58,5.78
197007,6.93,-0.56,1.03,0.52,-2.94
197008,4.49,1.53,1.07,0.53,-6.5
197009,4.18,8.63,-5.5,0.54,-8.92
197010,-2.28,-4.22,0.2,0.46,9.61
197011,4.59,-4.07,1.68,0.46,2.88
197012,5.72,2.93,0.99,0.42,-2.21
197101,4.84,7.44,1.35,0.38,-6.59
197102,1.41,1.9,-1.34,0.33,0.81
197103,4.13,2.57,-4,0.3,-1.22
197104,3.15,-0.48,0.74,0.28,1.31
197105,-3.98,-1.1,-1.38,0.29,0.88
197106,-0.1,-1.43,-2,0.37,2.7
197107,-4.5,-1.5,0.14,0.4,-2.37
197108,3.79,-0.19,2.72,0.47,3.51
197109,-0.85,0.41,-2.95,0.37,2.09
197110,-4.42,-1.78,-0.48,0.37,0.46
197111,-0.46,-2.83,-1.75,0.37,1.47
197112,8.71,3.28,-0.24,0.37,-0.68
197201,2.49,6.11,2.06,0.29,0.24
197202,2.87,1.39,-2.75,0.25,2.7
197203,0.63,-0.27,-1.66,0.27,2.91
197204,0.29,-0.02,0.39,0.29,2.9
197205,1.25,-2.79,-2.73,0.3,3.18
197206,-2.43,0.32,-2.42,0.29,1.93
197207,-0.8,-2.89,0.77,0.31,2.75
197208,3.26,-4.07,4.64,0.29,-5.34
197209,-1.14,-2.69,0.5,0.34,1.75
197210,0.52,-2.71,1.32,0.4,0.75
197211,4.6,-1.12,4.76,0.37,-5.14
197212,0.62,-1.86,-2.26,0.37,4.98
197301,-3.29,-3.5,2.7,0.44,3.72
197302,-4.85,-3.99,1.7,0.41,2.12
197303,-1.29,-2.87,2.83,0.46,3.62
197304,-5.68,-3.99,5.69,0.52,6.4
197305,-2.94,-6.12,0.21,0.51,7.08
197306,-1.56,-2.94,1.42,0.51,4.31
197307,5.04,7.86,-5.18,0.64,-11.67
197308,-3.84,-2.05,1.2,0.7,3.42
197309,4.75,2.91,2.12,0.68,-7.02
197310,-0.86,-0.17,1.73,0.65,6.74
197311,-12.74,-7.7,4,0.56,8.63
197312,0.58,-5.33,4.22,0.64,10.38
197401,-0.17,9.87,5.86,0.63,-8.81
197402,-0.48,0.01,2.55,0.58,0.13
197403,-2.81,2.48,-0.09,0.56,-0.99
197404,-5.29,-0.72,1.01,0.75,2
197405,-4.67,-3.04,-2.07,0.75,-0.25
197406,-2.83,-0.18,0.77,0.6,2.38
197407,-8.05,0.9,5.22,0.7,3.02
197408,-9.35,-0.69,2.56,0.6,3
197409,-11.77,0.26,5.54,0.81,4.32
197410,16.1,-3.5,-9.72,0.51,-0.49
